2026-03-05 13:37:56,560 - INFO - Iniciando AI Data Cleaner...
2026-03-05 13:37:56,561 - INFO - Descargando sap_consumo_diario_resumen desde 2025-03-05...
2026-03-05 13:38:21,047 - INFO - Total registros crudos: 45925
2026-03-05 13:38:21,048 - INFO - Procesando 3038 SKUs...
2026-03-05 13:38:21,380 - ERROR - Error procesando SKU 401249: Invalid value '0.0' for dtype 'str'. Value should be a string or missing value, got 'float' instead.
2026-03-05 13:38:21,382 - ERROR - Error procesando SKU 303860: Invalid value '0.0' for dtype 'str'. Value should be a string or missing value, got 'float' instead.
2026-03-05 13:38:21,387 - ERROR - Error procesando SKU 400977: Invalid value '0.0' for dtype 'str'. Value should be a string or missing value, got 'float' instead.
2026-03-05 13:38:21,389 - ERROR - Error procesando SKU 304351: Invalid value '0.0' for dtype 'str'. Value should be a string or missing value, got 'float' instead.
2026-03-05 13:38:21,391 - ERROR - Error procesando SKU 400033: Invalid value '0.0' for dtype 'str'. Value should be a string or missing value, got 'float' instead.
2026-03-05 13:38:21,394 - ERROR - Error procesando SKU 408140: Invalid value '0.0' for dtype 'str'. Value should be a string or missing value, got 'float' instead.
2026-03-05 13:38:21,396 - ERROR - Error procesando SKU 404960: Invalid value '0.0' for dtype 'str'. Value should be a string or missing value, got 'float' instead.
2026-03-05 13:38:21,399 - ERROR - Error procesando SKU 300005: Invalid value '0.0' for dtype 'str'. Value should be a string or missing value, got 'float' instead.
2026-03-05 13:38:21,402 - ERROR - Error procesando SKU 404544: Invalid value '0.0' for dtype 'str'. Value should be a string or missing value, got 'float' instead.
2026-03-05 13:38:21,404 - ERROR - Error procesando SKU 403073: Invalid value '0.0' for dtype 'str'. Value should be a string or missing value, got 'float' instead.
2026-03-05 13:38:21,407 - ERROR - Error procesando SKU 401280: Invalid value '0.0' for dtype 'str'. Value should be a string or missing value, got 'float' instead.
2026-03-05 13:38:21,409 - ERROR - Error procesando SKU 400099: Invalid value '0.0' for dtype 'str'. Value should be a string or missing value, got 'float' instead.
2026-03-05 13:38:21,412 - ERROR - Error procesando SKU 302512: Invalid value '0.0' for dtype 'str'. Value should be a string or missing value, got 'float' instead.
